Product Name,Model,SKU,Category,Brands,Price (Special Price),Quantity,Total,Points,Weight,Store,Status
,Size/5,,,,+0.0000,10,7990,+0,+0.00000000,Default,
,Size/6,,,,+0.0000,10,7990,+0,+0.00000000,Default,
,Size/7,,,,+0.0000,10,7990,+0,+0.00000000,Default,
,Size/8,,,,+0.0000,10,7990,+0,+0.00000000,Default,
Elma Shirt,BP4014,,Womens &gt; Shirt,Beyond Pink,1250.0000,37,46250,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,11250,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,11250,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,11250,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,10,12500,+0,+0.00000000,Default,
Emblisshed Party Dress,BP1022,,"Womens,Womens &gt; Dress",Beyond Pink,3250.0000,45,146250,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,29250,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,29250,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,9,29250,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,29250,+0,+0.00000000,Default,
,Size/XXL,,,,+0.0000,9,29250,+0,+5.00000000,Default,
Flap Pocket Detailed Trouser,BP7002,,"Bottom,Bottom &gt; Pant",Beyond Pink,1500.0000,1,1500,0,0.00000000,Default,Enabled
Flip Con Shirt,BO4008,,"Womens &gt; Dress,Womens &gt; Shirt",Beyond Pink,1450.0000,38,55100,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,13050,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,10,14500,+0,+0.00000000,Default,
,Size/S,,,,+0.0000,10,14500,+0,+0.00000000,Default,
,Size/XL,,,,+0.0000,9,13050,+0,+0.00000000,Default,
Frill Jacket,BP6002,,"Winter Wear,Winter Wear &gt; Jacket",Beyond Pink,2250.0000,45,101250,0,0.00000000,Default,Enabled
,Size/L,,,,+0.0000,9,20250,+0,+0.00000000,Default,
,Size/M,,,,+0.0000,9,20250,+0,+0.00000000,Default,
